question,answer_1,answer_2,answer_3,answer_4,correct_answer,page_id
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,8
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
Which among the following is an input device?,Mouse,Speaker,Display,None of the above,Mouse,1
